case_name,cv_100,cv_1000,cv_200,cv_400,cv_600,cv_800,dual_inf_100,dual_inf_1000,dual_inf_200,dual_inf_400,dual_inf_600,dual_inf_800,nlp_err_100,nlp_err_1000,nlp_err_200,nlp_err_400,nlp_err_600,nlp_err_800,obj_100,obj_1000,obj_200,obj_400,obj_600,obj_800
pglib_opf_case240_pserc__api.m,2.1408652628451818e-13,2.1408652628451818e-13,2.1408652628451818e-13,2.1408652628451818e-13,2.1408652628451818e-13,2.1408652628451818e-13,2.2686642026915696e-11,2.2686642026915696e-11,2.2686642026915696e-11,2.2686642026915696e-11,2.2686642026915696e-11,2.2686642026915696e-11,2.5065598472895695e-09,2.5065598472895695e-09,2.5065598472895695e-09,2.5065598472895695e-09,2.5065598472895695e-09,2.5065598472895695e-09,3.3288143138480853e+04,3.3288143138480853e+04,3.3288143138480853e+04,3.3288143138480853e+04,3.3288143138480853e+04,3.3288143138480853e+04
pglib_opf_case24_ieee_rts.m,5.6530224945561258e-11,5.6530224945561258e-11,5.6530224945561258e-11,5.6530224945561258e-11,5.6530224945561258e-11,5.6530224945561258e-11,8.2328065894336871e-10,8.2328065894336871e-10,8.2328065894336871e-10,8.2328065894336871e-10,8.2328065894336871e-10,8.2328065894336871e-10,3.7503243485578384e-09,3.7503243485578384e-09,3.7503243485578384e-09,3.7503243485578384e-09,3.7503243485578384e-09,3.7503243485578384e-09,4.8732462373895487e+02,4.8732462373895487e+02,4.8732462373895487e+02,4.8732462373895487e+02,4.8732462373895487e+02,4.8732462373895487e+02
pglib_opf_case24_ieee_rts__api.m,6.5084604372600552e-12,6.5084604372600552e-12,6.5084604372600552e-12,6.5084604372600552e-12,6.5084604372600552e-12,6.5084604372600552e-12,2.6432976331105657e-09,2.6432976331105657e-09,2.6432976331105657e-09,2.6432976331105657e-09,2.6432976331105657e-09,2.6432976331105657e-09,3.6108621782553850e-09,3.6108621782553850e-09,3.6108621782553850e-09,3.6108621782553850e-09,3.6108621782553850e-09,3.6108621782553850e-09,1.0380278990256627e+03,1.0380278990256627e+03,1.0380278990256627e+03,1.0380278990256627e+03,1.0380278990256627e+03,1.0380278990256627e+03
pglib_opf_case24_ieee_rts__sad.m,1.9581558596826198e-14,1.9581558596826198e-14,1.9581558596826198e-14,1.9581558596826198e-14,1.9581558596826198e-14,1.9581558596826198e-14,7.9418340975962869e-13,7.9418340975962869e-13,7.9418340975962869e-13,7.9418340975962869e-13,7.9418340975962869e-13,7.9418340975962869e-13,2.5059316799402597e-09,2.5059316799402597e-09,2.5059316799402597e-09,2.5059316799402597e-09,2.5059316799402597e-09,2.5059316799402597e-09,5.9167664670259239e+02,5.9167664670259239e+02,5.9167664670259239e+02,5.9167664670259239e+02,5.9167664670259239e+02,5.9167664670259239e+02
pglib_opf_case2736sp_k.m,2.6732138638102532e-11,2.6732138638102532e-11,2.6732138638102532e-11,2.6732138638102532e-11,2.6732138638102532e-11,2.6732138638102532e-11,5.6851158535350976e-09,5.6851158535350976e-09,5.6851158535350976e-09,5.6851158535350976e-09,5.6851158535350976e-09,5.6851158535350976e-09,5.6851158535350976e-09,5.6851158535350976e-09,5.6851158535350976e-09,5.6851158535350976e-09,5.6851158535350976e-09,5.6851158535350976e-09,1.1275019335795318e+04,1.1275019335795318e+04,1.1275019335795318e+04,1.1275019335795318e+04,1.1275019335795318e+04,1.1275019335795318e+04
pglib_opf_case2736sp_k__api.m,7.1583793552263838e-14,7.1583793552263838e-14,7.1583793552263838e-14,7.1583793552263838e-14,7.1583793552263838e-14,7.1583793552263838e-14,5.8457238041849759e-10,5.8457238041849759e-10,5.8457238041849759e-10,5.8457238041849759e-10,5.8457238041849759e-10,5.8457238041849759e-10,2.5059198235158592e-09,2.5059198235158592e-09,2.5059198235158592e-09,2.5059198235158592e-09,2.5059198235158592e-09,2.5059198235158592e-09,5.6369165803034248e+03,5.6369165803034248e+03,5.6369165803034248e+03,5.6369165803034248e+03,5.6369165803034248e+03,5.6369165803034248e+03
pglib_opf_case2737sop_k.m,1.2516356007186147e-11,1.2516356007186147e-11,1.2516356007186147e-11,1.2516356007186147e-11,1.2516356007186147e-11,1.2516356007186147e-11,3.4708289621882972e-09,3.4708289621882972e-09,3.4708289621882972e-09,3.4708289621882972e-09,3.4708289621882972e-09,3.4708289621882972e-09,4.0239652526812347e-09,4.0239652526812347e-09,4.0239652526812347e-09,4.0239652526812347e-09,4.0239652526812347e-09,4.0239652526812347e-09,6.7039710694499872e+03,6.7039710694499872e+03,6.7039710694499872e+03,6.7039710694499872e+03,6.7039710694499872e+03,6.7039710694499872e+03
pglib_opf_case2737sop_k__api.m,1.5449441092048170e-12,1.5449441092048170e-12,1.5449441092048170e-12,1.5449441092048170e-12,1.5449441092048170e-12,1.5449441092048170e-12,3.7345536664861191e-10,3.7345536664861191e-10,3.7345536664861191e-10,3.7345536664861191e-10,3.7345536664861191e-10,3.7345536664861191e-10,2.7180145371471957e-09,2.7180145371471957e-09,2.7180145371471957e-09,2.7180145371471957e-09,2.7180145371471957e-09,2.7180145371471957e-09,3.1649509976080089e+03,3.1649509976080089e+03,3.1649509976080089e+03,3.1649509976080089e+03,3.1649509976080089e+03,3.1649509976080089e+03
pglib_opf_case2742_goc.m,1.4456436048249088e-11,1.4456436048249088e-11,1.4456436048249088e-11,1.4456436048249088e-11,1.4456436048249088e-11,1.4456436048249088e-11,4.4537339654004074e-10,4.4537339654004074e-10,4.4537339654004074e-10,4.4537339654004074e-10,4.4537339654004074e-10,4.4537339654004074e-10,9.4101577895932360e-10,9.4101577895932360e-10,9.4101577895932360e-10,9.4101577895932360e-10,9.4101577895932360e-10,9.4101577895932360e-10,4.7298928225660311e+03,4.7298928225660311e+03,4.7298928225660311e+03,4.7298928225660311e+03,4.7298928225660311e+03,4.7298928225660311e+03
pglib_opf_case2742_goc__api.m,5.9419136277938378e-13,5.9419136277938378e-13,5.9419136277938378e-13,5.9419136277938378e-13,5.9419136277938378e-13,5.9419136277938378e-13,9.3741649776096830e-09,9.3741649776096830e-09,9.3741649776096830e-09,9.3741649776096830e-09,9.3741649776096830e-09,9.3741649776096830e-09,9.3741649776096830e-09,9.3741649776096830e-09,9.3741649776096830e-09,9.3741649776096830e-09,9.3741649776096830e-09,9.3741649776096830e-09,1.1017168482504039e+04,1.1017168482504039e+04,1.1017168482504039e+04,1.1017168482504039e+04,1.1017168482504039e+04,1.1017168482504039e+04
